n_distributor_id,dist_name,scan_date,time_slot,challan_count,total_line_items,item_value,quantity
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 19:00:00,23,115,24460.14,391.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 10:00:00,1,1,288.0,12.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 18:00:00,10,51,8300.42,131.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 23:00:00,1,2,719.6,3.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 14:00:00,9,81,18078.77,305.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 11:00:00,26,152,32446.03,507.0
36834,AK Pharma - Belgaum,2022-05-14,2022-05-14 16:00:00,7,42,13505.73,296.0
36834,AK Pharma - Belgaum,2022-05-14,2022-05-14 12:00:00,39,178,54746.82,679.0
36834,AK Pharma - Belgaum,2022-05-14,2022-05-14 19:00:00,21,81,21971.11,269.0
36834,AK Pharma - Belgaum,2022-05-14,2022-05-14 15:00:00,17,105,29002.56,382.0
36834,AK Pharma - Belgaum,2022-05-14,2022-05-14 11:00:00,30,173,36221.52,550.0
36834,AK Pharma - Belgaum,2022-05-14,2022-05-14 13:00:00,31,166,44384.67,763.0
36834,AK Pharma - Belgaum,2022-05-14,2022-05-14 14:00:00,27,97,28662.46,432.0
36834,AK Pharma - Belgaum,2022-05-14,2022-05-14 20:00:00,7,37,14178.66,243.0
36834,AK Pharma - Belgaum,2022-05-14,2022-05-14 17:00:00,17,99,36861.48,507.0
36834,AK Pharma - Belgaum,2022-05-14,2022-05-14 18:00:00,14,62,24530.54,308.0
36834,AK Pharma - Belgaum,2022-05-15,2022-05-15 20:00:00,1,17,4047.79,43.0
36834,AK Pharma - Belgaum,2022-05-15,2022-05-15 12:00:00,1,4,1748.23,18.0
36834,AK Pharma - Belgaum,2022-05-15,2022-05-15 22:00:00,1,5,3422.01,11.0
36834,AK Pharma - Belgaum,2022-05-15,2022-05-15 23:00:00,2,23,4889.38,86.0
36834,AK Pharma - Belgaum,2022-05-15,2022-05-15 14:00:00,1,2,6157.68,38.0
36834,AK Pharma - Belgaum,2022-05-15,2022-05-15 13:00:00,1,1,125.71,1.0
36834,AK Pharma - Belgaum,2022-05-16,2022-05-16 11:00:00,28,141,37296.84,544.0
36834,AK Pharma - Belgaum,2022-05-16,2022-05-16 12:00:00,36,294,69697.54,1268.0
36834,AK Pharma - Belgaum,2022-05-16,2022-05-16 10:00:00,4,18,2666.99,43.0
36834,AK Pharma - Belgaum,2022-05-16,2022-05-16 18:00:00,21,103,31986.32,402.0
36834,AK Pharma - Belgaum,2022-05-16,2022-05-16 19:00:00,23,92,24301.29,288.0
36834,AK Pharma - Belgaum,2022-05-16,2022-05-16 17:00:00,9,79,14662.3,248.0
36834,AK Pharma - Belgaum,2022-05-16,2022-05-16 15:00:00,7,64,15396.94,179.0
36834,AK Pharma - Belgaum,2022-05-16,2022-05-16 16:00:00,5,17,2912.22,56.0
36834,AK Pharma - Belgaum,2022-05-16,2022-05-16 20:00:00,10,91,19840.31,436.0
36834,AK Pharma - Belgaum,2022-05-16,2022-05-16 14:00:00,32,261,67081.33,1160.0
36834,AK Pharma - Belgaum,2022-05-16,2022-05-16 13:00:00,38,275,83843.1,1146.0
36834,AK Pharma - Belgaum,2022-05-17,2022-05-17 12:00:00,43,268,69366.66,982.0
36834,AK Pharma - Belgaum,2022-05-17,2022-05-17 11:00:00,33,213,48098.33,702.0
36834,AK Pharma - Belgaum,2022-05-17,2022-05-17 17:00:00,10,65,17876.06,198.0
36834,AK Pharma - Belgaum,2022-05-17,2022-05-17 10:00:00,5,27,5203.74,67.0
36834,AK Pharma - Belgaum,2022-05-17,2022-05-17 20:00:00,2,2,439.85,4.0
