unit_name,month,Present Head Count--Admin,Present Head Count--Audit & Refilling,Present Head Count--CHECKING,Present Head Count--Checking,Present Head Count--Data Analyst,Present Head Count--Data analyst,Present Head Count--Delivery,Present Head Count--Dispatch,Present Head Count--Expiry,Present Head Count--Finance & Accounts,Present Head Count--HR,Present Head Count--IT,Present Head Count--IT ,Present Head Count--Inward,Present Head Count--Overall Non - Ops,Present Head Count--Overall Operation,Present Head Count--PURCHASE,Present Head Count--Purchase,Present Head Count--SALES,Present Head Count--Sales,Present Head Count--Sales Return,Present Head Count--Store,Present Head Count--store
Belgam,2022-05-01,0.677477363455626,,,2.1937514172559816,,,6.2586446022981965,1.467886957026162,,1.8871837871189228,0.8064516129032258,,,1.4154603511103376,,1.935483870967742,,,,14.30703169907239,,8.746845122266345,
Belgam,2022-06-01,1.0,,,2.8499999999999996,,,6.583333333333333,2.6333333333333333,,1.85,1.0,,,0.9333333333333333,,2.0,,,,15.316666666666666,,11.6,
Belgam,2022-07-01,0.7576189044809021,,,2.37054800126273,,,7.666622535850139,1.6041302551926337,,1.997507278233114,1.0,,,1.7562253738498055,,2.0,,,,17.300142540564835,,11.788411241922018,
Belgam,2022-08-01,0.9032258064516129,,,2.9516129032258065,,,7.290322580645161,1.0,,1.8870967741935485,1.0,,,2.0,,2.0,,,,19.82258064516129,,12.241935483870968,
Belgam,2022-09-01,0.7494686938041524,,,2.3264226168901776,,,10.634505255527365,0.8308082638637188,,1.9970279086625589,1.0,,,1.7478071765132295,,2.0,,,,16.305328017397606,,11.5491119971004,
Belgam,2022-10-01,0.7494686938041524,,,2.3264226168901776,,,9.055889815150417,0.8308082638637188,,1.9970279086625589,1.0,,,1.7478071765132295,,2.0,,,,16.305328017397606,,10.80130482058717,
Belgam,2022-11-01,0.7494686938041524,,,2.3264226168901776,,,9.886698079014137,0.8308082638637188,,0.9970279086625589,1.9970279086625589,,,1.7478071765132295,,2.0,,,,17.302355926060166,,11.632113084450888,
Bhopal,2022-04-01,,,,,,,2.0,,,1.0,,,,,,1.1333333333333333,,,,11.833333333333334,,,
Bhopal,2022-05-01,,,,,,,1.0,,,1.0,,,,,,1.1290489095367144,,,,10.0,,,
Bhopal,2022-06-01,,,,,,,,,,1.0,,,,,,1.1333333333333333,,,,11.766666666666666,,,
