unit_name,month,Supervisor,Biker,Van,1.a.i Payment to Outside Agency (Actual),3rd Supervisor Headcount,3rd Biker Headcount,3rd Van Headcount
Kota,2022-09-01,0.0,85225.0,0.0,85225.0,0.0,8.5225,0.0
Kota,2022-10-01,0.0,92202.0,0.0,92202.0,0.0,9.2202,0.0
Kota,2022-11-01,0.0,100113.0,0.0,100113.0,0.0,10.0113,0.0
Lucknow,2022-04-01,0.0,274227.0,0.0,274227.0,0.0,22.85225,0.0
Lucknow,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucknow,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucknow,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucknow,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucknow,2022-09-01,6968.0,167935.0,0.0,174903.0,1.0,8.191951219512195,0.0
Lucknow,2022-10-01,9867.0,279800.0,0.0,289667.0,1.416044776119403,13.648780487804878,0.0
Lucknow,2022-11-01,8980.644,437187.096,0.0,446167.74,1.2888409873708382,19.344561769911504,0.0
Ludhiana,2022-04-01,0.0,39690.0,0.0,39690.0,0.0,3.969,0.0
Ludhiana,2022-05-01,0.0,52968.0,0.0,52968.0,0.0,6.621,0.0
Ludhiana,2022-06-01,0.0,44319.6,0.0,44319.6,0.0,5.53995,0.0
Ludhiana,2022-07-01,0.0,42000.0,0.0,42000.0,0.0,4.375,0.0
Ludhiana,2022-08-01,0.0,30904.0,0.0,30904.0,0.0,4.262620689655172,0.0
Ludhiana,2022-09-01,0.0,30326.0,0.0,30326.0,0.0,4.182896551724138,0.0
Ludhiana,2022-10-01,0.0,41167.0,0.0,41167.0,0.0,5.678206896551724,0.0
Ludhiana,2022-11-01,0.0,41167.0,0.0,41167.0,0.0,5.678206896551724,0.0
Mahaveer,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahaveer,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahaveer,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahaveer,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahaveer,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahaveer,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahaveer,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahaveer,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muzaffarpur,2022-04-01,0.0,28857.0,0.0,28857.0,0.0,3.607125,0.0
Muzaffarpur,2022-05-01,0.0,28857.0,0.0,28857.0,0.0,3.607125,0.0
Muzaffarpur,2022-06-01,0.0,12823.0,0.0,12823.0,0.0,1.602875,0.0
Muzaffarpur,2022-07-01,0.0,50000.0,0.0,50000.0,0.0,5.9523809523809526,0.0
Muzaffarpur,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muzaffarpur,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muzaffarpur,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muzaffarpur,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2022-04-01,8500.0,212117.0,0.0,220617.0,1.0,11.784277777777778,0.0
Nagpur,2022-05-01,8500.0,213532.0,0.0,222032.0,1.0,11.86288888888889,0.0
Nagpur,2022-06-01,8500.0,241340.0,0.0,249840.0,1.0,13.407777777777778,0.0
Nagpur,2022-07-01,8000.0,228200.0,0.0,236200.0,0.9411764705882353,12.677777777777777,0.0
Nagpur,2022-08-01,10839.0,223484.0,0.0,234323.0,1.2751764705882354,12.415777777777778,0.0
Nagpur,2022-09-01,8000.0,180726.0,0.0,188726.0,0.9411764705882353,10.040333333333333,0.0
Nagpur,2022-10-01,7733.0,189417.0,0.0,197150.0,0.9097647058823529,10.523166666666667,0.0
Nagpur,2022-11-01,9600.0,194883.6,0.0,204483.6,1.1294117647058823,10.826866666666668,0.0
Nashik,2022-05-01,4645.0,81033.0,0.0,85678.0,1.0,4.911090909090909,0.0
Nashik,2022-06-01,8000.0,87120.0,0.0,95120.0,1.7222820236813778,5.28,0.0
Nashik,2022-07-01,8000.0,101750.0,0.0,109750.0,1.0,6.166666666666667,0.0
Nashik,2022-08-01,8129.0,104153.0,0.0,112282.0,1.75005382131324,6.31230303030303,0.0
Nashik,2022-09-01,8000.0,103000.0,0.0,111000.0,1.7222820236813778,6.242424242424242,0.0
Nashik,2022-10-01,8000.0,103000.0,0.0,111000.0,1.7222820236813778,6.242424242424242,0.0
